"LunID","Percent"
"00034	","26"
"00035	","44"
"00040	","26"
"00041	","58"
"00042	","34"
"00043	","0"
"00046	","49"
"00047	","52"
"00048	","39"
"00049	","28"
"0004A	","32"
"0004B	","37"
"0004C	","33"
"0004D	","44"
"0004E	","41"
"00050	","0"
"00051	","57"
"00052	","38"
"00053	","33"
"00054	","56"
"00055	","44"
"00056	","39"
"00057	","43"
"00058	","60"
"00059	","40"
"0005A	","48"
"0005B	","40"
"0005C	","32"
"0005D	","36"
"0005E	","36"
"0005F	","41"
"00060	","41"
"00061	","49"
"00062	","22"
"00063	","47"
"00064	","36"
"00065	","67"
"00066	","34"
"00067	","43"
"00068	","36"
"00069	","30"
"0006A	","35"
"0006B	","32"
"0006C	","21"
"0006D	","33"
"0006E	","40"
"0006F	","24"
"00070	","41"
"00071	","26"
"00072	","39"
"00073	","19"
"00074	","37"
"00075	","35"
"00076	","40"
"00077	","26"
"00078	","22"
"00079	","35"
"0007A	","26"
"0007B	","32"
"0007C	","42"
"0007D	","23"
"0007E	","23"
"0007F	","40"
"00080	","33"
"00081	","33"
"00082	","20"
"00083	","27"
"00084	","28"
"00085	","27"
"00086	","37"
"00087	","29"
"00088	","35"
"00089	","31"
"0008A	","34"
"0008B	","24"
"000B1	","23"
"000B2	","15"
"000B6	","8"
"000B7	","1"
"000B8	","5"
"000B9	","7"
